Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
001.jpg,Corroded,8571.307209645667,7626.597867195735,9371.482714074802,7856.9171678343355,0.10686398651761617,0.12080692909190485,0.10181337922968255,0.11971858916592185,58.72084153543307,54.849835699671395,62.668737696850386,55.453964907929816,8.613174175767117,8.596720256208535,8.63296298153773,8.59321743757702,0.004264835800179414,0.004739021320066324,0.003769345673456971,0.004584176692688435,0.065305710318313,0.06884054996923197,0.06139499713703855,0.06770654837376097,0.48628657614592846,0.5429558368254017,0.43611671021107346,0.5291765316347476
002.jpg,Corroded,18898.52854330709,18590.171120342242,22498.15028297244,19030.478702957407,0.19918105160071983,0.21037253327155797,0.1454049620395636,0.20296157629601894,99.15588090551182,98.37001674003349,114.14659202755908,100.17775435550871,6.433398607433444,6.449769782186637,6.4617160279340045,6.450454591283732,0.03001430203299859,0.029333896599469063,0.028425543179211366,0.029029836905231497,0.1732463622504051,0.17127141209048596,0.16859876387213332,0.17038144530796626,0.2049717595760031,0.21797835586296077,0.05318458225076933,0.1994349509740441
003.jpg,Corroded,6607.2406496062995,6512.180792361585,7557.358636811023,6752.477152954307,0.10224636496485769,0.10855062018062173,0.08516535675326994,0.09991655958710005,52.79404527559055,53.83644367288734,58.53444881889764,55.79254758509518,8.853598166041643,8.845294921613498,8.903553361072309,8.8790943582771,0.003376318092968217,0.004001539282141123,0.0024849981950940464,0.003282816039251027,0.05810609342373842,0.06325772112668242,0.04984975621900318,0.057295864067583684,0.5647113824281932,0.57105207669221,0.5010860530385932,0.5552264539411158
004.jpg,Corroded,14144.413262795275,12161.303428606854,14538.630474901578,11716.076074152148,0.12928173085143946,0.14747251721329882,0.11738747096273341,0.15717435726889045,84.08932086614173,76.96788393576786,86.18128690944883,74.19908239816479,7.860790059476859,7.844825196617652,7.869063569232977,7.8272356440130295,0.009541975748990562,0.010542586960305664,0.009468668473469763,0.011109617668426233,0.09768303716096548,0.10267710046697688,0.0973070833673981,0.10540217108023076,0.2539743050778742,0.358487573957091,0.23278807134777665,0.38200479577729907
005.jpg,Corroded,7494.59215059055,6768.193688387377,8031.57258858268,6395.537665075329,0.09387225723988141,0.10673218438438828,0.08199312677122822,0.10646212765251085,58.34104330708661,54.617273234546474,61.13484251968505,53.56308512617024,8.880783565392356,8.840129138807926,8.891191502439732,8.840181189417713,0.001942796060885091,0.002708076158293801,0.0016666166144832296,0.0030386883887413988,0.04407716030877092,0.05203917907013716,0.04082421603023418,0.05512429943991487,0.5041086588466203,0.5524020801421144,0.4698388344578542,0.5770847899372122
006.jpg,Corroded,5499.13625738189,5412.703143406287,6438.722748523622,5440.797755595509,0.08823441518747085,0.09001678819272249,0.07570464209933761,0.08876146717152428,49.22976131889763,49.234608469216944,54.44346702755905,49.524149048298085,9.139853986651687,9.155424310348053,9.186562540324417,9.149041759412603,0.001285840340235368,0.0014090891843511009,0.0008588099451589528,0.0014017740230904848,0.035858615983266395,0.03753783670313329,0.029305459306398062,0.03744027274327051,0.6249979779262796,0.6292544804547752,0.5596386649512417,0.6273352458051965
007.jpg,Corroded,12878.660494586613,11602.058466116934,14468.368540846455,11537.458738917478,0.12145124025926668,0.14571868355485368,0.10489829857086137,0.1483788625668354,79.14130167322836,75.6762973525947,87.3874876968504,74.7204414408829,7.960029792431428,7.954695829196371,7.986678400134831,7.937353755120347,0.008603582453746938,0.010099862099407997,0.007961158012159776,0.01076585698338487,0.09275549823998003,0.10049807012777906,0.08922532158619421,0.10375864775229518,0.2826994692847371,0.3543467974681602,0.19467702193274014,0.3579459453408238
008.jpg,Corroded,12377.233944389765,11222.976005952012,12185.663201279527,11465.367102734204,0.11619903943240727,0.1324957314339168,0.121686997092944,0.1250215074961487,76.10919045275591,71.75410750821501,75.0666215551181,72.67555335110669,8.194628566690234,8.182500809815448,8.185284040870929,8.180696773570979,0.005922727970944222,0.006500001281979128,0.006504813546736469,0.006083292717146533,0.07695926176194924,0.08062258543348215,0.08065242430786858,0.07799546600377828,0.34307390226971735,0.4032794325758666,0.35118504855084554,0.39039014023262103
009.jpg,Corroded,6997.001107283464,7470.773079546159,8522.907541830711,7332.366730733462,0.1288636799512428,0.10971673490582884,0.09507407497882767,0.11758566021211231,51.02780511811024,54.31948663897329,58.39806840551182,53.96000992001984,8.60652849901388,8.647789130718365,8.665151987697715,8.637050435130043,0.005113500339305365,0.0038820422981536637,0.003360683723320572,0.0044206349805222395,0.0715087430969484,0.06230603741334915,0.057971404358705785,0.06648785588753964,0.5593334766273368,0.5306171066839019,0.4638801415794717,0.5393210727683541
010.jpg,Corroded,14116.543799212597,13219.571021142041,13879.78715551181,13022.00359600719,0.13592153669062124,0.1478310155104865,0.13927328315067328,0.15024211246865432,84.14000984251967,80.60009920019837,83.1027312992126,79.5808791617583,7.741341640651386,7.727715886484807,7.7441950759925415,7.724487515258145,0.011064770542627025,0.01160188996551345,0.011190282573436242,0.011754549270150055,0.10518921305260832,0.10771206972996782,0.10578413195482696,0.10841839913109792,0.27757179583202896,0.3237937779354241,0.2878103281855535,0.33388907435873744
